,open,high,low,close,volume,symbol,extraction_time,close_lag_1,volume_lag_1,close_lag_2,volume_lag_2,close_lag_3,volume_lag_3,close_lag_5,volume_lag_5,close_lag_10,volume_lag_10,close_rolling_mean_5,close_rolling_std_5,volume_rolling_mean_5,close_rolling_mean_10,close_rolling_std_10,volume_rolling_mean_10,close_rolling_mean_20,close_rolling_std_20,volume_rolling_mean_20,price_change,price_change_pct,returns,volatility,volatility_pct,hour,day_of_week,month,sma_5,sma_20,ema_5,ema_20,rsi,target
2025-12-02 13:05:00,304.71,305.0,304.57,304.645,31207,IBM,2025-12-03 07:53:08.808114,304.794,30723.0,304.64,20954.0,305.3715,17178.0,305.7468,15324.0,305.885,12944.0,305.06010000000003,0.5339740630407026,23770.4,305.45802,0.5585214306043949,18997.0,305.210375,0.5426074658292821,19550.8,-0.06499999999999773,-0.02133175806504471,-0.000488854767482283,0.4300000000000068,0.14114789344975523,13,1,12,305.06010000000003,305.210375,304.97463607527504,305.1260001887728,49.43946188340777,304.17
2025-12-02 13:10:00,304.61,304.65,304.15,304.17,21334,IBM,2025-12-03 07:53:08.808114,304.645,31207.0,304.794,30723.0,304.64,20954.0,305.85,18790.0,305.79,13363.0,304.7241,0.4313841675355281,24279.2,305.29602,0.6744430209027092,19794.1,305.202625,0.5568390288754342,18953.0,-0.4399999999999977,-0.1444469978004654,-0.0015591918462471988,0.5,0.1643817601998882,13,1,12,304.7241,305.202625,304.7064240501834,305.0349525517468,38.45530650823683,304.34
2025-12-02 13:15:00,304.23,304.385,303.8,304.34,34053,IBM,2025-12-03 07:53:08.808114,304.17,21334.0,304.645,31207.0,304.794,30723.0,305.3715,17178.0,305.9679,13257.0,304.51779999999997,0.2549396006908524,27654.2,305.13323,0.6905236467911199,21873.7,305.175375,0.5857837474834745,19519.75,0.1099999999999568,0.036156855010997205,0.0005588979846795628,0.5849999999999795,0.19221922849444031,13,1,12,304.51779999999997,305.175375,304.58428270012223,304.9687665944376,41.42411642411587,304.43
2025-12-02 13:20:00,304.375,304.55,304.21,304.43,33502,IBM,2025-12-03 07:53:08.808114,304.34,34053.0,304.17,21334.0,304.645,31207.0,304.64,20954.0,306.05,12271.0,304.47580000000005,0.24694776775754188,30163.8,304.97123,0.639707516586837,23996.8,305.161375,0.6006487447795554,20151.35,0.05500000000000682,0.01806981519507411,0.00029572188999149596,0.34000000000003183,0.11168413099892646,13,1,12,304.47580000000005,305.161375,304.53285513341484,304.9174554902055,37.487866433702486,304.46
2025-12-02 13:25:00,304.39,304.53,304.135,304.46,27597,IBM,2025-12-03 07:53:08.808114,304.43,33502.0,304.34,34053.0,304.17,21334.0,304.794,30723.0,305.725,16903.0,304.409,0.17365195075343468,29538.6,304.84473,0.5977918404892022,25066.2,305.137875,0.6190887563907683,20915.05,0.06999999999999318,0.022996813298726368,9.854482146964827e-05,0.3949999999999818,0.1297378966038172,13,1,12,304.409,305.137875,304.5085700889432,304.8738883006621,26.889393447939483,304.155
2025-12-02 13:30:00,304.46,304.61,304.06,304.155,25155,IBM,2025-12-03 07:53:08.808114,304.46,27597.0,304.43,33502.0,304.34,34053.0,304.645,31207.0,305.7468,15324.0,304.311,0.14267095009331376,28328.2,304.68555,0.5400422025688904,26049.3,305.103125,0.6545857218400342,21351.3,-0.3050000000000068,-0.10017736320042266,-0.0010017736320042658,0.5500000000000114,0.1808288537094611,13,1,12,304.311,305.103125,304.3907133926288,304.80542274821806,25.174612815061153,304.07
2025-12-02 13:35:00,304.14,304.29,303.95,304.07,20085,IBM,2025-12-03 07:53:08.808114,304.155,25155.0,304.46,27597.0,304.43,33502.0,304.17,21334.0,305.85,18790.0,304.291,0.17147886167263585,28078.4,304.50755,0.38455287528345805,26178.8,305.07237499999997,0.6888118824048407,21626.1,-0.06999999999999318,-0.023015716446371137,-0.00027946277391455165,0.34000000000003183,0.11181635807545362,13,1,12,304.291,305.07237499999997,304.2838089284192,304.735382486483,20.346239180025407,304.08
2025-12-02 13:40:00,304.115,304.26,303.93,304.08,18759,IBM,2025-12-03 07:53:08.808114,304.07,20085.0,304.155,25155.0,304.46,27597.0,304.34,34053.0,305.3715,17178.0,304.239,0.19119361914188854,25019.6,304.37839999999994,0.2583108377299843,26336.9,305.025125,0.7237579879570041,21898.2,-0.03500000000002501,-0.011508804235248183,3.28871641397388e-05,0.3299999999999841,0.10852407261246519,13,1,12,304.239,305.025125,304.21587261894615,304.6729651068179,18.51023017902699,304.11
2025-12-02 13:45:00,304.155,304.25,303.98,304.11,18901,IBM,2025-12-03 07:53:08.808114,304.08,18759.0,304.07,20085.0,304.155,25155.0,304.43,33502.0,304.64,20954.0,304.175,0.1627114009545867,22099.4,304.3254,0.25298976703040743,26131.6,304.98062500000003,0.7521864402666643,21637.5,-0.04499999999995907,-0.014795088030760328,9.865824782950838e-05,0.2699999999999818,0.08878366380585373,13,1,12,304.175,304.98062500000003,304.1805817459641,304.6193493823591,21.496646664312976,304.26
2025-12-02 13:50:00,304.08,304.66,304.08,304.26,19642,IBM,2025-12-03 07:53:08.808114,304.11,18901.0,304.08,18759.0,304.07,20085.0,304.46,27597.0,304.794,30723.0,304.13499999999993,0.07729812417274781,20508.4,304.272,0.19212553766248963,25023.5,304.92701,0.7639247034402626,21097.1,0.18000000000000682,0.05919494869771338,0.0004932425766992488,0.5800000000000409,0.19062643791495465,13,1,12,304.13499999999993,304.92701,304.2070544973094,304.5851256316582,24.895312711062473,304.33
2025-12-02 13:55:00,304.31,304.4,303.94,304.33,26789,IBM,2025-12-03 07:53:08.808114,304.26,19642.0,304.11,18901.0,304.08,18759.0,304.155,25155.0,304.645,31207.0,304.17,0.11768602296198262,20835.2,304.2405,0.14396083572312846,24581.7,304.84926,0.7400502453780945,21789.35,0.01999999999998181,0.0065722454076375435,0.00023006639058698042,0.45999999999997954,0.15115171031445457,13,1,12,304.17,304.84926,304.24803633153965,304.5608279524526,24.04371584699335,304.62
2025-12-02 14:00:00,304.24,304.75,304.12,304.62,16029,IBM,2025-12-03 07:53:08.808114,304.33,26789.0,304.26,19642.0,304.11,18901.0,304.07,20085.0,304.17,21334.0,304.28,0.2164486082204213,20024.0,304.2855,0.18418665049916513,24051.2,304.79076,0.7072904691775684,21922.65,0.37999999999999545,0.12490139363660119,0.0009529129563303762,0.6299999999999955,0.2068150482568431,14,1,12,304.28,304.79076,304.37202422102644,304.5664633855523,36.28399342945737,304.185
2025-12-02 14:05:00,304.62,304.76,304.185,304.185,23153,IBM,2025-12-03 07:53:08.808114,304.62,16029.0,304.33,26789.0,304.26,19642.0,304.08,18759.0,304.34,34053.0,304.30100000000004,0.19635427166360594,20902.8,304.27000000000004,0.18560711193238105,22961.2,304.701615,0.6620258512005587,22417.45,-0.4350000000000023,-0.1428008666535363,-0.001428008666535363,0.5749999999999886,0.18902970231930852,14,1,12,304.30100000000004,304.701615,304.30968281401766,304.5301335393092,40.6876790830946,304.394
2025-12-02 14:10:00,304.21,304.59,304.12,304.394,43868,IBM,2025-12-03 07:53:08.808114,304.185,23153.0,304.62,16029.0,304.33,26789.0,304.11,18901.0,304.43,33502.0,304.35779999999994,0.16602469695956523,25896.2,304.2664,0.18248177991207581,23997.8,304.618815,0.5833954335340028,23997.3,0.18400000000002592,0.06048453371027446,0.0006870818745172702,0.46999999999997044,0.15440514596213145,14,1,12,304.35779999999994,304.618815,304.3377885426785,304.5171684403274,41.99359487590097,304.07
2025-12-02 14:15:00,304.52,304.585,304.07,304.07,24915,IBM,2025-12-03 07:53:08.808114,304.394,43868.0,304.185,23153.0,304.62,16029.0,304.26,19642.0,304.46,27597.0,304.31980000000004,0.20994094407841582,26950.8,304.2274,0.1781317864200872,23729.6,304.53606499999995,0.5334720337709072,24397.9,-0.44999999999998863,-0.14777354525153968,-0.0010644099423773312,0.5149999999999864,0.16936889532015206,14,1,12,304.31980000000004,304.53606499999995,304.248525695119,304.47458096982,39.244294799850344,303.1675
2025-12-02 14:20:00,304.07,304.14,303.02,303.1675,74160,IBM,2025-12-03 07:53:08.808114,304.07,24915.0,304.394,43868.0,304.185,23153.0,304.33,26789.0,304.155,25155.0,304.0873,0.5553626742955161,36425.0,304.12865,0.38096500641264286,28630.1,304.4071,0.5371321164538109,27339.7,-0.902499999999975,-0.2968066563620137,-0.002968066563620142,1.1200000000000045,0.36943273932727105,14,1,12,304.0873,304.4071,303.88818379674603,304.3500970679324,33.83325270117702,303.46
2025-12-02 14:25:00,303.17,303.48,303.13,303.46,43662,IBM,2025-12-03 07:53:08.808114,303.1675,74160.0,304.07,24915.0,304.394,43868.0,304.62,16029.0,304.07,20085.0,303.8553,0.5182486854790997,41951.6,304.06765,0.4362277724358183,30987.8,304.2876,0.4594699635103669,28583.3,0.2899999999999636,0.09565590262887608,0.0009648131808321914,0.35000000000002274,0.11533645290978144,14,1,12,303.8553,304.2876,303.7454558644974,304.2653259186055,36.34812286689408,302.73
2025-12-02 14:30:00,303.42,303.42,302.73,302.73,75117,IBM,2025-12-03 07:53:08.808114,303.46,43662.0,303.1675,74160.0,304.07,24915.0,304.185,23153.0,304.08,18759.0,303.5643,0.6724060900980685,52344.4,303.93265,0.6073217182386098,36623.6,304.155525,0.5085346718757261,31480.25,-0.6899999999999977,-0.22740755388570225,-0.0024055888749751064,0.6899999999999977,0.22792587454167004,14,1,12,303.5643,304.155525,303.4069705763316,304.11910440254786,27.996375873672818,303.275
