,open,high,low,close,volume,symbol,extraction_time
2025-12-03 10:50:00,302.61,302.62,301.96,301.96,28395,IBM,2025-12-04 20:16:22.002055
2025-12-03 10:55:00,301.96,302.33,301.87,302.26,30114,IBM,2025-12-04 20:16:22.002055
2025-12-03 11:00:00,302.26,302.96,302.26,302.87,17546,IBM,2025-12-04 20:16:22.002055
2025-12-03 11:05:00,302.8,303.09,302.64,302.77,22394,IBM,2025-12-04 20:16:22.002055
2025-12-03 11:10:00,302.73,302.83,302.46,302.59,21813,IBM,2025-12-04 20:16:22.002055
2025-12-03 11:15:00,302.62,303.43,302.58,303.385,20004,IBM,2025-12-04 20:16:22.002055
2025-12-03 11:20:00,303.33,303.4,301.99,302.04,34897,IBM,2025-12-04 20:16:22.002055
2025-12-03 11:25:00,302.144,302.46,301.75,302.3,37068,IBM,2025-12-04 20:16:22.002055
2025-12-03 11:30:00,302.43,303.06,302.255,303.055,19871,IBM,2025-12-04 20:16:22.002055
2025-12-03 11:35:00,303.005,303.68,302.95,303.42,28173,IBM,2025-12-04 20:16:22.002055
2025-12-03 11:40:00,303.395,303.5,303.23,303.415,18468,IBM,2025-12-04 20:16:22.002055
2025-12-03 11:45:00,303.48,303.545,303.17,303.205,24400,IBM,2025-12-04 20:16:22.002055
2025-12-03 11:50:00,303.205,303.32,302.84,303.115,31985,IBM,2025-12-04 20:16:22.002055
2025-12-03 11:55:00,303.115,303.115,302.47,302.74,21365,IBM,2025-12-04 20:16:22.002055
2025-12-03 12:00:00,302.66,303.23,302.66,303.125,17825,IBM,2025-12-04 20:16:22.002055
2025-12-03 12:05:00,303.16,303.365,302.93,303.015,7594,IBM,2025-12-04 20:16:22.002055
2025-12-03 12:10:00,302.97,303.28,302.92,303.255,10166,IBM,2025-12-04 20:16:22.002055
2025-12-03 12:15:00,303.3209,303.49,303.23,303.41,10395,IBM,2025-12-04 20:16:22.002055
2025-12-03 12:20:00,303.49,303.97,303.4,303.795,16468,IBM,2025-12-04 20:16:22.002055
2025-12-03 12:25:00,303.76,303.96,303.73,303.8588,10898,IBM,2025-12-04 20:16:22.002055
2025-12-03 12:30:00,303.8941,303.95,303.4,303.485,15322,IBM,2025-12-04 20:16:22.002055
2025-12-03 12:35:00,303.485,303.5,303.22,303.35,15196,IBM,2025-12-04 20:16:22.002055
2025-12-03 12:40:00,303.33,303.4837,303.13,303.4474,17833,IBM,2025-12-04 20:16:22.002055
2025-12-03 12:45:00,303.51,303.62,303.1,303.265,12319,IBM,2025-12-04 20:16:22.002055
2025-12-03 12:50:00,303.17,303.21,302.96,303.16,20026,IBM,2025-12-04 20:16:22.002055
