feature,importance
close,0.5727134436950044
low,0.07798296492068107
close_rolling_std_20,0.0618261128205756
close_lag_1,0.029457627299271018
volume_lag_2,0.01963618428599248
ema_5,0.01911709289638146
close_lag_3,0.01861722316391775
close_lag_10,0.01858069076420902
volume_rolling_mean_5,0.016689242737594773
rsi,0.013467443596493323
volume_rolling_mean_20,0.013000926192875916
close_rolling_std_10,0.012576380831654093
volume,0.01234971964503614
close_rolling_std_5,0.012090546983061317
close_lag_2,0.00957923723522451
volume_lag_3,0.00923507646269832
close_rolling_mean_20,0.007566507705878406
hour,0.00663894621796999
sma_20,0.006219967581424099
close_lag_5,0.005848357548321178
returns,0.005776708414396938
volatility,0.005407719047941641
high,0.005360878435860095
volume_lag_1,0.004674653843569718
ema_20,0.004288371446853869
volume_rolling_mean_10,0.003922045664771549
price_change_pct,0.0038893683438714164
volatility_pct,0.003828280189625182
open,0.0036305329854829965
volume_lag_10,0.0034869652820916797
price_change,0.0034800593720079407
volume_lag_5,0.0029812969206713257
close_rolling_mean_10,0.0024712006735722967
sma_5,0.002127702309237867
close_rolling_mean_5,0.0014805244857805744
day_of_week,0.0
month,0.0
